p93;i_6_p9;i_2_p9;p4;p1;p3;p5;region;p7;p92;p84;p91;p96;p10;p8;p81;p83;folio_encuesta;fecha;diferencia_edad_pareja;anios_convivencia_aprox
1;4;4;37;2;2;7;1;8;6;2002;42;2;4;4;1;1;1100302;2022-09-08;-5;
3;6;3;35;1;1;7;1;1;3;2000;35;1;4;3;1;1;1100304;2022-08-24;0;
3;5;3;28;2;2;14;1;8;3;2011;30;1;5;4;1;1;1100305;2022-09-14;-2;
1;6;5;38;2;2;14;1;1;6;2012;47;1;4;4;1;1;1100306;2022-10-03;-9;
3;7;7;23;2;2;13;1;2;6;2021;23;1;4;5;1;1;1100307;2022-10-03;0;
1;6;6;34;2;2;15;1;1;6;2012;47;1;3;4;1;1;1100308;2022-10-06;-13;
3;5;7;19;2;2;7;1;2;5;2020;22;2;3;4;1;1;1100404;2022-11-08;-3;
2;4;3;43;1;1;11;1;2;5;2017;22;1;3;1;1;1;1100405;2022-11-08;21;
2;5;5;36;2;2;15;1;2;5;2018;48;2;3;3;1;1;1100406;2022-11-09;-12;
1;7;7;55;1;1;8;1;1;5;1980;48;;;1;1;1;1100408;2022-11-09;7;
3;7;7;39;2;2;6;1;8;4;2012;99;;1;3;1;1;1100409;2022-11-09;-60;
3;5;5;48;1;1;9;1;2;1;2005;38;1;4;1;1;1;1100601;2022-08-17;10;
3;7;7;45;2;2;11;1;2;6;2014;58;1;3;3;1;1;1100603;2022-08-17;-13;
1;7;7;33;2;2;13;1;1;1;2015;32;1;4;5;1;1;1100604;2022-08-18;1;
3;6;6;34;1;1;15;1;3;1;2017;31;1;1;1;1;1;1100706;2022-09-01;3;
2;7;6;50;2;2;7;1;1;2;1980;42;1;3;1;1;1;1100707;2022-09-12;8;
3;5;5;31;1;1;13;1;2;3;2017;34;1;1;4;1;1;1100801;2022-08-12;-3;
3;7;6;75;2;2;10;1;2;5;2016;65;1;3;5;1;1;1100806;2022-08-22;10;
2;7;7;52;1;1;7;1;1;2;2000;30;1;3;4;1;1;1100808;2022-08-22;22;
2;4;3;58;2;2;7;1;1;1;2014;58;1;;1;1;1;1101004;2022-08-16;0;
2;7;7;25;2;2;9;1;8;6;2021;24;1;4;4;1;1;1101010;2022-11-21;1;
3;7;6;26;1;1;13;1;1;3;2019;23;1;4;4;1;1;1101109;2022-09-18;3;
3;7;5;29;2;2;14;1;2;3;2019;28;1;4;1;1;1;1101302;2022-10-27;1;
3;6;6;36;1;1;12;1;2;5;2018;33;1;4;4;1;1;1101303;2022-11-12;3;
3;5;6;49;1;1;7;1;2;3;2019;34;2;3;4;1;1;1101401;2022-11-17;15;
2;5;4;41;2;2;14;1;1;6;1999;48;1;3;3;1;1;1101410;2022-08-30;-7;
2;6;5;59;2;2;7;1;1;1;1982;59;1;3;1;1;1;1101804;2022-08-16;0;
3;6;6;83;1;2;7;1;1;3;1970;81;1;3;1;1;1;1101806;2022-08-16;2;
1;4;3;60;2;2;7;1;5;1;1970;70;1;;1;1;1;1101808;2022-08-16;-10;
1;6;4;33;2;2;9;1;2;6;2018;37;1;4;3;1;1;1102001;2022-09-17;-4;
3;6;5;23;2;2;14;1;2;6;2021;24;1;3;3;1;1;1102003;2022-09-26;-1;
3;7;7;23;1;2;9;1;8;2;2022;20;2;4;3;1;1;1102201;2022-08-30;3;
1;6;6;58;2;2;11;1;1;6;1986;60;1;4;4;1;1;1102503;2022-09-12;-2;
3;7;6;26;2;2;9;1;2;3;2017;27;1;4;4;1;1;1102505;2022-08-25;-1;
1;6;6;38;2;2;11;1;3;6;2016;35;1;4;4;1;1;1102506;2022-08-25;3;
3;6;5;71;1;1;15;1;1;2;1973;68;1;4;4;1;1;1102507;2022-08-25;3;
3;5;4;29;1;1;14;1;3;5;2014;30;1;4;4;1;1;1102602;2022-08-26;-1;
3;7;5;66;2;2;11;1;1;3;1990;64;1;3;3;1;1;1102603;2022-08-29;2;
3;5;7;55;1;1;15;1;2;5;2005;38;1;3;3;1;1;1102607;2022-09-09;17;
1;7;7;42;2;2;7;1;2;;2017;42;1;3;4;1;1;1102608;2022-09-09;0;
2;6;2;32;2;2;9;1;2;2;2010;42;1;3;3;1;1;1102610;2022-09-13;-10;
3;7;7;33;2;1;10;1;8;6;2002;34;2;4;4;1;1;1102702;2022-10-30;-1;
